severity,recipe_id,title,category,issue_code,where,evidence,suggested_fix,updated_at
P0,99a47e37-e870-4cde-9ab0-57a6982a57ab,Adaptogen Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.466531
P0,27d99221-5658-47a3-be79-92e31c4b19a1,Adaptogenic Herbal Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.467843
P0,2c12a63c-8882-4404-99c1-e1f5d3da73d5,Adrenal Recovery Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.469187
P0,88e08ad6-771a-497b-a226-b64019763ed2,African Savanna Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.471074
P0,5e2eae5d-7109-4bae-9bfb-9cb6aa9eb713,Almond Energy Bites,snack,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.475652
P0,da02b963-b1f6-46dd-91a9-68ad220cfa3d,Almond Flour Flatbread,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.477291
P0,19eecec6-c511-4530-ab3d-e8d477b0c42b,Almond-oat thin crust with rainbow veggies,pizza,STEP_GHOST_ING,instructions,Instructions mention 'cheese' not in ingredients,Add cheese to ingredients or remove from instructions,2025-10-03T01:38:57.481745
P0,19eecec6-c511-4530-ab3d-e8d477b0c42b,Almond-oat thin crust with rainbow veggies,pizza,FORBIDDEN_INGREDIENT,ingredients+instructions (flour),Recipe contains forbidden flour: wheat flour,"Replace with low-GI alternative: almond flour, oat flour",2025-10-03T01:38:57.481751
P0,d4246e5c-91cf-48ac-9ab2-12a86a0502da,Andean Mountain Meal,lunch,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.490045
P0,d4246e5c-91cf-48ac-9ab2-12a86a0502da,Andean Mountain Meal,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),"Recipe contains forbidden potato: potato, potatoes","Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.490058
P0,ab18a23a-181a-493a-8947-56a546a5acc3,Apple Slices with Almond Butter,snack,STEP_GHOST_ING,instructions,Instructions mention 'butter' not in ingredients,Add butter to ingredients or remove from instructions,2025-10-03T01:38:57.494839
P0,718e6c3a-2e24-49a3-9648-d2f74340aa36,Argentinian Empanadas,dinner,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),Recipe contains forbidden bread: roll,"Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.498884
P0,6b4b1358-ef82-421f-96dd-08c449aca1d2,Athletic Performance Bowl,lunch,FORBIDDEN_INGREDIENT,ingredients+instructions (potato),Recipe contains forbidden potato: potato,"Replace with low-GI alternative: sweet potato, sweet potatoes",2025-10-03T01:38:57.511913
P0,cd37f25f-30b1-46f1-a847-f4a059f41386,Authentic Trinidad Callaloo,soup,STEP_GHOST_ING,instructions,Instructions mention 'rice' not in ingredients,Add rice to ingredients or remove from instructions,2025-10-03T01:38:57.517342
P0,e1d669ac-9e41-40fa-a452-cddff84ac6ff,Avocado Toast on Ezekiel Bread,breakfast,FORBIDDEN_INGREDIENT,ingredients+instructions (bread),"Recipe contains forbidden bread: bread, toast","Replace with low-GI alternative: flatbread, lentil flatbread",2025-10-03T01:38:57.522041
