Recipe ID,Recipe Name,Category,Overall Status,No Emojis,Professional Headers,Benefits ≤4 Bullets,Medical Disclaimer,Numbered Instructions,Valid Image Paths,Failure Details
"a6b77e91-fd7a-401e-b92a-f4242b0f5712","Almond-oat crust with grilled chicken & spinach","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"19eecec6-c511-4530-ab3d-e8d477b0c42b","Almond-oat thin crust with rainbow veggies","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"03654630-1593-4da1-8fd2-93c5a2cf47ec","Broccoli-flax crust pizza","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"ef1aa32d-a0be-4a24-841d-d0b3eee8024f","Broccoli-flax crust with extra-lean ground beef","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"cae09950-c423-45cf-8ee8-57e5cba4a34f","Cauliflower-flax crust with BBQ chicken","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"20119874-a117-443d-97b5-a1b8cfa7a108","Cauliflower-flax crust with roasted veggies","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"9878b3c7-f280-4e4f-97b7-f6e966561794","Coconut-flour crust with pesto & mushrooms","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"3fea45ff-c7ce-4fa8-b7d5-3ad32747e4f4","Coconut-flour crust with shredded chicken & veggies","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"647028ea-89c8-4978-a6c3-1601655ae5d5","Eggplant mini pizzas","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"09c9d5da-b691-41c0-80d3-7b496d161a4e","Eggplant rounds with lean beef & tomatoes","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"85111fc7-b977-46f0-8332-406bf7877297","Flaxseed & almond crust pizza","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"69fa52eb-745b-4d67-920a-16da1cb5e945","Flaxseed & almond crust with herb-roasted chicken","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"f3c44ecb-4e2a-4288-9b1a-2dc175c54cff","Zucchini-psyllium crust pizza","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"13a1b589-d1c4-4299-81e7-17ec0b80ae12","Zucchini-psyllium crust with spicy chicken","pizza","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"f26a60fd-bf22-40d5-a989-bae48a89cb48","Blackberry Mint Infused Water","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"3b74234f-57eb-473d-954a-11a62bbc4491","Chamomile Ginger Herbal Tea","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"d415f727-e7d6-4ec4-984c-6237e389225d","Cucumber Celery Green Juice","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"93b076df-50a5-4279-b6c0-6520dabf006e","Traditional Caribbean Sorrel Drink","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"c7db09d1-4c6b-48de-b06f-cfafa8055317","Unsweetened Almond Milk","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"5a0e3a23-c74b-407b-9d30-534e644df857","Unsweetened Chicory Coffee","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"ec5df9df-c892-4f11-8bf1-90c0079b467d","Unsweetened Green Tea","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
"d1c15117-de1c-4b06-a3fa-227eb3c0b049","Watermelon Basil Sparkling Water","beverage","PASS",PASS,PASS,PASS,PASS,PASS,PASS,""
